,P0,AB,P1,ABa,ABp,EMS,P2,ABal,ABar,ABpl,ABpr,MS,E,C,P3,ABalx,ABarx,ABplx,ABprx,MSx,Ex,Cx,D,P4,1-cell,2-cell,4-cell,8-cell,16-cell
2L52.1,0.642,2.716,2.168,2.934,0.81,0.5,22.378,0.072,0,0,0.21,0,0,0.142,2.268,10.636,6.1475,0,21.29916667,7.740833333,18.845,0,0.125,33.89,0.642,2.442,6.6555,0.345128205,10.235
2L52.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RSSE.1,0.418,3.976,0.624,4.418,0,1.712,0,0,0,0,0,0.2625,8.626,0,6.386,1.551,0,0,0,1.505,0.262,0,4.538333333,0,0.418,2.3,1.5325,1.951538462,0.704666667
2RSSE.3,0,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,0
2RSSE.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RSSE.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RSSE.6,0,0,16.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.363,0,0,0
2RSSE.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RSSE.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3R5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0.014666667
4R79.2,0,0,0,0,1.818,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.257,0,0,0,0,0,0.4975,0,0.139666667
6R55.2,0,0,0,0,0,0,0,0,0,17,0,0,0,1.228,0,17,4.929166667,35.51272727,45.1925,3.634166667,0,14.41636364,0,0,0,0,0,2.336923077,15.15877778
aagr-1,0.482,0,0,0,0,0,0,0,0,4.714,0.032,3.885,0,0,0.058,0,1.0225,0.058181818,0.146666667,17.66,0,0,0,0,0.482,0,0,1.014358974,2.517666667
aagr-2,0,0,0,0,0,0.402,0,0.576,0,7.102,0,0,0.036,0,0.044,2.588,0.948333333,12.86363636,4.075833333,3.976666667,1.522,3.39,0,0,0,0,0.1005,0.994615385,3.643333333
aagr-3,106.326,160.416,96.24,173.828,162.852,171.814,104.218,117.07,134.478,164.944,66.84,235.165,228.784,198.292,109.826,165.582,159.3175,175.6254545,158.6116667,189.4325,240.826,99.22454545,4.536666667,112.0416667,106.326,128.328,153.178,154.9187179,154.1693333
aagr-4,1.824,1.392,0.16,0,0.036,0,0.03,0,7.968,0,0,0,5.454,0,0.058,0,0.061666667,0,1.918333333,0.216666667,6.664,0,0,0,1.824,0.776,0.0165,1.728205128,1.033333333
aak-1,46.52,52.454,64.226,46.992,58.466,65.926,34.378,9.11,0.484,16.378,1.582,0,0.31,21.632,19.646,0,0.786666667,0,0,0.0425,0,0,0.518333333,84.86166667,46.52,58.34,51.4405,8.864358974,5.802555556
aak-2,54.038,58.376,25.474,72.322,74.876,54.36,44.058,45.77,48.54,43.446,55.844,191.385,167.27,34.174,7.812,49.23,67.41666667,36.01545455,28.08666667,39.2025,29.179,32.5,2.431666667,83.47333333,54.038,41.925,61.404,71.2774359,40.774
aakb-1,16.83,37.93,2.894,10.408,37.776,64.114,26.96,1.984,13.14,8.71,37.912,0,0,0,0.132,11.814,29.78333333,23.17,40.34,17.1525,47.515,17.21727273,35.56166667,0,16.83,20.412,34.8145,7.933076923,25.53588889
aakb-2,0.95,1.878,2.182,4.606,0.23,12.876,0.154,19.128,32.918,0,1.232,0,0,0,0,5.616,15.81583333,17.23090909,8.338333333,0.048333333,0,20.25727273,0,0,0.95,2.03,4.4665,6.830512821,8.432888889
